sr_no,sector,line_ministry,implementing_agency,project_code,project_name,original_cost,revised_cost,expenditure,physical_progress,original_completion_date,revised_completion_date,sanction_date,cost_overrun_percent,expenditure_ratio,snapshot_month
1377,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617900,Upgradation to Two Lane Paved Shoulder in km 33/0 to 126/520 of NH-23 Old NH-11B Kothun-Lalsot-Karoli-Dholpur road in the state of Rajasthan under EPC mode Length-93.52 Km.,150,0.0,12.2,97,01/09/2024,31/01/2026,24/12/2021,-100.0,8.133333333333333,Jan_2026
1378,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618022,Upgradation to two lane with paved Shulder Configuaration from Km. 0/00 to 47/000 of NH 351 Mahuva to Badhada section in the State of Gujarat,173,219.08,17.42,50,22/08/2025,,06/12/2022,26.635838150289025,10.06936416184971,Jan_2026
1379,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618069,Upgradation to Two-lane with paved shoulder of Hanumangarh to Kenchiyan section from Km 0.000existing chainage-Km 23.200 to Km 49.605existing chainage-Km 74.645 of NH-54 in the State of Rajasthan on EPC mode.,335,0.0,0.0,66,03/10/2026,,24/03/2022,-100.0,0.0,Jan_2026
1380,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618465,Vadodara Mumbai Expressway Gandeva to Ena Phase IB - Pkg VII [Km 190.00 to Km 217.500],1710,3392.21,2152.35,97,09/11/2023,31/03/2025,30/07/2020,98.37485380116959,125.86842105263156,Jan_2026
1381,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618463,Vadodara Mumbai Expressway Kim to Ankleshwar Phase IA - Pkg V,1325,2807.48,1240.62,91,31/10/2021,23/04/2025,19/02/2018,111.88528301886794,93.63169811320753,Jan_2026
1382,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618468,Vadodara Mumbai Expressway Phase II - Pkg XI [Km. 77.000 to Km. 103.400] Ganjad - Talsari,1525,1913.95,813.23,99,17/05/2024,06/01/2025,19/06/2020,25.50491803278689,53.32655737704918,Jan_2026
1383,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618469,Vadodara Mumbai Expressway Phase II - Pkg XIII [Km. 26.582 to Km. 50.700] Shirsad - Masvan,3537,4679.54,1786.01,90,08/02/2024,10/06/2025,06/06/2020,32.30251625671473,50.49505230421261,Jan_2026
1384,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618470,Vadodara Mumbai Expressway Phase II - Pkg XIV [Km. 3.000 to Km. 20.200 of Spur] Shirsad - Akloli,2059,2324.72,576.7,86,11/05/2024,30/06/2025,27/05/2021,12.905293831957252,28.008742107819334,Jan_2026
1385,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618471,Vadodara Mumbai Expressway Phase II - Pkg XV [Km. 20.200 to Km. 43.000 of Spur] Akloli - Amne,2611,2918.39,596.09,91,11/05/2024,30/11/2025,18/05/2021,11.772883952508613,22.82995021064726,Jan_2026
1386,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618472,Vadodara Mumbai Expressway Phase II - Pkg XVI [Km. 43.000 to Km. 69.800 of Spur] Amne - Bhoj,4052,4315.56,824.5,90,31/10/2024,23/06/2025,24/06/2021,6.504442250740385,20.347976307996053,Jan_2026
1387,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618473,Vadodara Mumbai Expressway Phase II - Pkg XVII [Km. 69.800 to Km. 79.783 of Spur] Bhoj - Morbe,2209,2463.02,807.09,84,17/07/2025,,03/09/2021,11.499320959710275,36.53644182888185,Jan_2026
1388,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],619064,Vadodara Mumbai Expressway Talsari to Karvad Phase IB - Pkg X [Km 103.400 to Km 128.000],1910,2652.24,521.59,36,21/03/2024,30/06/2025,07/10/2020,38.860732984293186,27.30837696335079,Jan_2026
1389,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618529,Varanasi Ring Road Pkg-II connecting Sandaha Village km 11.70 / NH-29 with Revasa Village km 818.80 / NH-2,1992,1832.66,989.09,93,13/02/2022,30/06/2025,26/12/2017,-7.998995983935739,49.653112449799195,Jan_2026
1390,Roads & Highways,Ministry of Road Transport & Highways,National Highways Authority of India [NHAI],618769,Walajahpet/Ranipet to TN/AP Border Section of from Km.106.800 to Km.133.36 NH-4,1338,1214.7,68.84,8,29/09/2027,,06/12/2024,-9.215246636771298,5.144992526158446,Jan_2026
1391,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618354,Wideinig & Upgradation to 2-lanes with paved shoulders road from Tamenglong to Mahur NH-137 in the State of Assam starting from km 96.870 near Jiri River to km 116.550 near Hangrum Package-7 on EPC mode Package7,847,0.0,0.0,71,04/03/2026,,11/12/2023,-100.0,0.0,Jan_2026
1392,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618063,Widening & Strenghteningof section from Bharthana chowk to Kodarkoot km.0.00 to km.40.00 of NH-91-A on EPC mode,262,343.77,112.46,90,18/09/2024,03/08/2025,30/03/2020,31.20992366412213,42.9236641221374,Jan_2026
1393,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617983,Widening & Strengthening of Existing 2LPS to 4 lane PS from Km 150000 to Km 159000 and Km 165400 to Km 186000 of NH-163 old NH-202 under NH O for the year 2020-21 on EPC Mode in the state of Telangana.,317,300.56,168.8,82,16/07/2024,07/04/2025,30/03/2021,-5.186119873817034,53.24921135646689,Jan_2026
1394,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618132,Widening & strengthening of existing carriageway in 2 lane with paved shoulders from km 25/0 to 59/2 design Ch km 25.467 to 59.200 of NH - 353C on EPC mode in the state of Telangana,206,0.0,152.77,98,03/06/2020,,26/02/2018,-100.0,74.1601941747573,Jan_2026
1395,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618012,"Widening & strengthenlng to 2LPS from km 0,000 to 40.000 Dhaugaon- Podamari section of NH 326 in the State of Odisha under Annual Plan 2021.22.",187,0.0,42.7,60,04/02/2026,,31/03/2022,-100.0,22.834224598930483,Jan_2026
1396,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617958,Widening & Strenthening from km132.895 to km 190.15 NH-80,566,0.0,221.6,79,03/11/2024,,31/03/2021,-100.0,39.15194346289753,Jan_2026
1397,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618410,Widening & Up-gradation to 2 lane with paved shoulder of NH-301 Kargil- Zanskar Road from Design Km .30.040 Ex. Km. 30.000 to Design Km 57.000 Ex. Km. 57.905 of 26.960 Km length Pkg-II,405,0.0,287.3,75,02/01/2023,02/12/2026,31/03/2021,-100.0,70.93827160493828,Jan_2026
1398,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618409,Widening & Up-gradation to 2 lane with Paved shoulder of NH-301 Kargil- Zanskar Road from Design km 57.000 Ex. Km. 57.905 to Km 87.000 Ex. Km. 88.2491 of 30.000 Km length Pkg-lll,381,0.0,208.95,82,02/01/2023,04/02/2025,31/03/2021,-100.0,54.84251968503937,Jan_2026
1399,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618352,Widening & Upgradation to 2 lanes with paved shoulders road from Tamenglong to Mahur NH-137 in the State of Assam starting from km 136.500 near Hejaichak to km 156.489 near P. Leikul Package-9 on EPC mode under NHO-NE Package-9,860,614.43,470.53,85,29/08/2025,,31/03/2023,-28.554651162790705,54.71279069767442,Jan_2026
1400,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618351,Widening & Upgradation to 2 lanes with paved shoulders road from Tamenglong to Mahur NH-137 in the State of Assam starting from km 156.489 near P. Leikul to km 176.410 near Borowapu on EPC mode under NHO-NE Assam portion Package-10,890,693.15,528.84,79,29/08/2025,,31/03/2023,-22.11797752808989,59.42022471910112,Jan_2026
1401,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618353,Widening & Upgradation to 2-lanes with paved shoulders road from Tamenglong to Mahur NH-137 in the State of Assam starting from km 116.480 near Hangrum to km 136.500 near Hejaichak Package-8 on EPC mode under NHO-NE Package 8,904,0.0,470.46,82,29/08/2025,,29/03/2023,-100.0,52.04203539823009,Jan_2026
1402,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618082,Widening & Upgradation to four lane configuration from Km.34.900 Bhadohi to km.73.134 Jaunpur of NH-135A on EPC mode,396,392.03,0.0,86,14/05/2024,,31/03/2021,-1.0025252525252595,0.0,Jan_2026
1403,Roads & Highways,Ministry of Road Transport & Highways,NHIDCL,618372,"Widening / Improvement to 4-Lane with Paved Shoulder configuration of existing single lane road from Kachukhana Harichara Paglagaunj to Dhubri - Phulbari Bridge approach Package-II of Srirampur - Dhubri Section of NH-127B from existing Km 28.050 to Km 55.060 Design Km 27.650 to Km 54.154, Design Length26.504 Km under JICA ODA Loan assistance Phase-V [Srirampur - Dhubri Pkg-2]",909,0.0,0.0,100,01/01/2025,,11/03/2022,-100.0,0.0,Jan_2026
1404,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617928,"Widening 2 lane to 4-lane from KM 92/320 to Km 115/320 Vav Chokdi-Satlasana to to Vrundavan Chokdi, Kheralu on NH-58 in the State of Gujarat.",151,171.27,0.0,92,14/03/2026,,16/03/2022,13.423841059602657,0.0,Jan_2026
1405,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618141,Widening and Improvement of existing carriage way to 2 lane with paved shoulders from Km. 86/160 to 131/730 of Jangaon-Duddeda section of NH-365B in the State of Telangana on EPC Mode,423,423.48,159.94,75,18/12/2024,07/06/2025,05/01/2022,0.11347517730496884,37.810874704491724,Jan_2026
1406,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618161,Widening and Reconstruction of existing road to four lane from Km.56400 to Km 120300 i.e. from B.Kothapalli Junction to Gorantla excluding Kadiri Bypass from Km 70200 to Km 77105 of NH 716G in the State of Andhra Pradesh on EPC mode Job no. 742,840,0.0,360.45,99,31/12/2025,,31/03/2022,-100.0,42.910714285714285,Jan_2026
1407,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617982,Widening and strengthening of existing 2-lane to 2- lane with paved shoulders from km 159/0 to 165/4 and 186/0 to 215/0 of NH-163 on EPC mode int the state of Telangana,230,0.0,0.0,0,30/11/2019,03/12/2020,19/01/2018,-100.0,0.0,Jan_2026
1408,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618060,Widening and Strengthening of existing paveemnt to two lane with paved shoulders from km 116.00 to km 176.355 of NH-75E in the State of Jharkhand on EPC mode.,315,0.0,129.49,87,16/07/2024,,21/01/2022,-100.0,41.10793650793651,Jan_2026
1409,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618106,Widening and Strengthening to 2/4 lane with paved shoulders of Mahabubnagar Chincholi section from Km 0/0 to Km 60/255 of NH-167N in the state of Telangana under Annual plan 2021-22 on EPC modepackage-I under NHO Job No.167N-TS-2021-22-75,704,0.0,252.3,90,18/01/2025,,24/01/2022,-100.0,35.83806818181819,Jan_2026
1410,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617921,Widening and strengthening to 2LPS including LA of Kandarpur-Balikuda from km 277/500 to 318/970 of NH-55 in the State of Odisha under Annual Plan 2021-22.,500,0.0,99.63,50,04/06/2025,,24/03/2022,-100.0,19.926,Jan_2026
1411,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618105,Widening and strengthening to 4 lane / 2-lane with paved shoulders of Mahabubnagar - Chincholi section from km 60/255 to Km 102/834 of NH-167N in the State of Telangana on EPC mode.,631,0.0,71.91,30,08/10/2025,,07/03/2022,-100.0,11.39619651347068,Jan_2026
1412,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,617899,Widening and Strengthening to 4LPS/2LPS from km 0.000 to 35.800 Kuakhia - Mangalpur section of NH 20 in the state of Odisha on Annual Plan 2021-22,636,0.0,47.79,46,06/02/2026,,31/03/2022,-100.0,7.514150943396227,Jan_2026
1413,Roads & Highways,Ministry of Road Transport & Highways,MoRTH,618264,"Widening and Strengthening to two Lane with Paved Shoulder/Four Lane with paved shoulder configuration from km. 61.500 of NH-727B near Nawalpur km 178.500 of Sonauli Balia Marg, Old SH-01 i.e. end point of Salempur Bypass to km. 106.495 of NH-727B near Sikanderpur under EPC mode",2062,0.0,0.0,14,30/05/2028,,17/05/2023,-100.0,0.0,Jan_2026
